Total,het,aob,
751500,6.191047e-11,5.623519e-11,5.675286e-12,
756510,6.191047e-11,5.623519e-11,5.675286e-12,
761520,6.191047e-11,5.623519e-11,5.675286e-12,
766530,6.191047e-11,5.623519e-11,5.675286e-12,
771540,6.191047e-11,5.623519e-11,5.675286e-12,
776550,6.191047e-11,5.623519e-11,5.675286e-12,
781560,6.191047e-11,5.623519e-11,5.675286e-12,
786570,6.191047e-11,5.623519e-11,5.675286e-12,
791580,6.191047e-11,5.623519e-11,5.675286e-12,
796590,6.191047e-11,5.623519e-11,5.675286e-12,
801600,6.191047e-11,5.623519e-11,5.675286e-12,
806610,6.191047e-11,5.623519e-11,5.675286e-12,
811620,6.191047e-11,5.623519e-11,5.675286e-12,
816630,6.191047e-11,5.623519e-11,5.675286e-12,
821640,6.191047e-11,5.623519e-11,5.675286e-12,
826650,6.191047e-11,5.623519e-11,5.675286e-12,
Total,het,aob,
5010,1.581088e-12,8.512955e-13,7.297922e-13,
10020,1.812568e-12,1.033878e-12,7.786896e-13,
15030,2.084428e-12,1.254632e-12,8.297962e-13,
20040,2.404765e-12,1.521322e-12,8.834428e-13,
25050,2.782765e-12,1.842984e-12,9.397816e-13,
30060,3.229155e-12,2.230170e-12,9.989846e-13,
35070,3.756256e-12,2.695048e-12,1.061208e-12,
40080,4.376962e-12,3.250631e-12,1.126332e-12,
45090,5.105454e-12,3.911047e-12,1.194406e-12,
50100,5.956505e-12,4.690943e-12,1.265562e-12,
55110,6.940037e-12,5.600507e-12,1.339529e-12,
60120,8.058811e-12,6.642625e-12,1.416186e-12,
65130,9.305509e-12,7.809946e-12,1.495563e-12,
70140,1.064870e-11,9.071308e-12,1.577391e-12,
75150,1.204754e-11,1.038597e-11,1.661563e-12,
80160,1.344997e-11,1.170239e-11,1.747578e-12,
85170,1.485697e-11,1.302143e-11,1.835545e-12,
90180,1.626995e-11,1.434469e-11,1.925266e-12,
95190,1.765912e-11,1.564292e-11,2.016199e-12,
100200,1.903604e-11,1.692766e-11,2.108380e-12,
105210,2.040450e-11,1.820299e-11,2.201507e-12,
110220,2.176569e-11,1.947020e-11,2.295488e-12,
115230,2.310316e-11,2.071322e-11,2.389944e-12,
120240,2.443118e-11,2.194627e-11,2.484915e-12,
125250,2.574469e-11,2.316446e-11,2.580232e-12,
130260,2.702120e-11,2.434570e-11,2.675501e-12,
135270,2.830250e-11,2.553139e-11,2.771111e-12,
140280,2.956578e-11,2.669910e-11,2.866677e-12,
145290,3.078664e-11,2.782508e-11,2.961560e-12,
150300,3.203163e-11,2.897450e-11,3.057125e-12,
155310,3.321245e-11,3.006097e-11,3.151486e-12,
160320,3.439751e-11,3.115189e-11,3.245615e-12,
165330,3.556334e-11,3.222369e-11,3.339650e-12,
170340,3.670322e-11,3.327050e-11,3.432719e-12,
175350,3.786480e-11,3.433842e-11,3.526381e-12,
180360,3.892279e-11,3.530568e-11,3.617108e-12,
185370,4.003333e-11,3.632503e-11,3.708302e-12,
190380,4.110659e-11,3.730708e-11,3.799517e-12,
195390,4.216472e-11,3.827507e-11,3.889644e-12,
200400,4.324251e-11,3.926262e-11,3.979890e-12,
205410,4.426116e-11,4.019201e-11,4.069148e-12,
210420,4.528299e-11,4.112556e-11,4.157433e-12,
215430,4.628576e-11,4.204026e-11,4.245496e-12,
220440,4.726839e-11,4.293561e-11,4.332778e-12,
225450,4.826170e-11,4.384231e-11,4.419393e-12,
230460,4.921127e-11,4.470592e-11,4.505357e-12,
235470,5.015289e-11,4.556268e-11,4.590210e-12,
240480,5.108191e-11,4.640721e-11,4.674697e-12,
245490,5.199419e-11,4.723592e-11,4.758269e-12,
250500,5.291443e-11,4.807280e-11,4.841632e-12,
255510,5.377884e-11,4.885525e-11,4.923588e-12,
260520,5.465968e-11,4.965477e-11,5.004909e-12,
265530,5.553792e-11,5.045163e-11,5.086291e-12,
270540,5.637942e-11,5.121312e-11,5.166300e-12,
275550,5.722399e-11,5.197816e-11,5.245835e-12,
280560,5.804986e-11,5.272474e-11,5.325120e-12,
285570,5.884921e-11,5.344645e-11,5.402762e-12,
290580,5.963939e-11,5.415946e-11,5.479922e-12,
295590,6.043223e-11,5.487520e-11,5.557036e-12,
300600,6.076329e-11,5.517520e-11,5.588086e-12,
305610,6.076329e-11,5.517520e-11,5.588086e-12,
310620,6.076329e-11,5.517520e-11,5.588086e-12,
315630,6.076329e-11,5.517520e-11,5.588086e-12,
320640,6.076329e-11,5.517520e-11,5.588086e-12,
325650,6.076329e-11,5.517520e-11,5.588086e-12,
330660,6.076329e-11,5.517520e-11,5.588086e-12,
335670,6.076329e-11,5.517520e-11,5.588086e-12,
340680,6.076329e-11,5.517520e-11,5.588086e-12,
345690,6.076329e-11,5.517520e-11,5.588086e-12,
350700,6.076329e-11,5.517520e-11,5.588086e-12,
