aob	eps	comm	
1.666110e-16	1.563366e-16	1.610530e-16	
1.667493e-16	1.563881e-16	1.611741e-16	
1.669129e-16	1.563725e-16	1.612944e-16	
1.670515e-16	1.564240e-16	1.614156e-16	
1.672154e-16	1.564084e-16	1.615361e-16	
1.673542e-16	1.564600e-16	1.616575e-16	
1.675184e-16	1.564443e-16	1.617782e-16	
1.676575e-16	1.564959e-16	1.618998e-16	
1.678220e-16	1.564803e-16	1.620206e-16	
1.679614e-16	1.565320e-16	1.621424e-16	
1.681261e-16	1.565163e-16	1.622634e-16	
1.682657e-16	1.565680e-16	1.623854e-16	
1.684308e-16	1.565524e-16	1.625066e-16	
1.685707e-16	1.566041e-16	1.626287e-16	
1.687360e-16	1.565885e-16	1.627501e-16	
1.688761e-16	1.566403e-16	1.628724e-16	
1.690418e-16	1.566246e-16	1.629940e-16	
1.691822e-16	1.566765e-16	1.631165e-16	
1.693481e-16	1.566608e-16	1.632383e-16	
1.694888e-16	1.567127e-16	1.633610e-16	
1.696550e-16	1.566970e-16	1.634829e-16	
1.697959e-16	1.567490e-16	1.636058e-16	
1.699624e-16	1.567333e-16	1.637279e-16	
1.701036e-16	1.567853e-16	1.638509e-16	
1.702704e-16	1.657158e-16	1.639732e-16	
1.704118e-16	1.657670e-16	1.640965e-16	
1.705790e-16	1.657504e-16	1.642189e-16	
1.707206e-16	1.658016e-16	1.643424e-16	
1.708881e-16	1.657850e-16	1.644650e-16	
1.710300e-16	1.658362e-16	1.645886e-16	
1.711978e-16	1.658196e-16	1.647115e-16	
1.713399e-16	1.658709e-16	1.648353e-16	
1.715080e-16	1.658543e-16	1.649583e-16	
1.716504e-16	1.659056e-16	1.650823e-16	
1.718188e-16	1.658890e-16	1.652055e-16	
1.719614e-16	1.659404e-16	1.653296e-16	
1.721301e-16	1.659238e-16	1.654530e-16	
1.722730e-16	1.659752e-16	1.655774e-16	
1.724420e-16	1.659586e-16	1.657010e-16	
1.725852e-16	1.660101e-16	1.658255e-16	
1.727545e-16	1.659934e-16	1.659493e-16	
1.728979e-16	1.660450e-16	1.660740e-16	
1.730675e-16	1.660283e-16	1.661979e-16	
1.732112e-16	1.660799e-16	1.663228e-16	
1.733811e-16	1.660633e-16	1.664470e-16	
1.735251e-16	1.661149e-16	1.665720e-16	
1.736953e-16	1.660982e-16	1.666964e-16	
1.738395e-16	1.661499e-16	1.668216e-16	
1.740101e-16	1.661332e-16	1.669462e-16	
1.741545e-16	1.661849e-16	1.670716e-16	
1.743254e-16	1.661683e-16	1.671963e-16	
1.744701e-16	1.662200e-16	1.673219e-16	
1.746412e-16	1.662034e-16	1.674468e-16	
1.747862e-16	1.662552e-16	1.675727e-16	
1.749577e-16	1.662385e-16	1.676977e-16	
1.751029e-16	1.662903e-16	1.678237e-16	
1.752747e-16	1.662737e-16	1.679490e-16	
1.754202e-16	1.663256e-16	1.680752e-16	
1.755923e-16	1.663089e-16	1.682006e-16	
1.757381e-16	1.663608e-16	1.683270e-16	
1.759104e-16	1.663442e-16	1.684527e-16	
1.760565e-16	1.663961e-16	1.685793e-16	
1.762292e-16	1.663795e-16	1.687051e-16	
1.763755e-16	1.664315e-16	1.688318e-16	
1.765485e-16	1.664148e-16	1.689578e-16	
1.766951e-16	1.664669e-16	1.690848e-16	
1.768684e-16	1.664502e-16	1.692110e-16	
1.770152e-16	1.665023e-16	1.693381e-16	
1.771889e-16	1.664856e-16	1.694645e-16	
1.773359e-16	1.665378e-16	1.695919e-16	
1.775099e-16	1.665211e-16	1.697184e-16	
1.776573e-16	1.665733e-16	1.698460e-16	
1.778315e-16	1.665566e-16	1.699727e-16	
1.779792e-16	1.666088e-16	1.701004e-16	
1.781537e-16	1.665922e-16	1.702274e-16	
1.783016e-16	1.666444e-16	1.703553e-16	
1.784765e-16	1.666277e-16	1.704824e-16	
1.786247e-16	1.666801e-16	1.706105e-16	
1.787999e-16	1.666634e-16	1.707379e-16	
1.789483e-16	1.667157e-16	1.708661e-16	
1.791239e-16	1.666990e-16	1.709937e-16	
1.792725e-16	1.667514e-16	1.711221e-16	
