sub,o2,nh4,no2,no3,
360720,4.640214e-06,1.000000e-05,1.905836e-06,1.000000e-07,1.000000e-07,
365730,5.017840e-06,1.000000e-05,1.895449e-06,1.000000e-07,1.000000e-07,
370740,5.196423e-06,1.000000e-05,1.882657e-06,1.000000e-07,1.000000e-07,
375750,5.057846e-06,1.000000e-05,1.870365e-06,1.000000e-07,1.000000e-07,
380760,4.874291e-06,1.000000e-05,1.856865e-06,1.000000e-07,1.000000e-07,
385770,4.763414e-06,1.000000e-05,1.841616e-06,1.000000e-07,1.000000e-07,
390780,4.688927e-06,1.000000e-05,1.824634e-06,1.000000e-07,1.000000e-07,
395790,4.628469e-06,1.000000e-05,1.807923e-06,1.000000e-07,1.000000e-07,
400800,4.565411e-06,1.000000e-05,1.791319e-06,1.000000e-07,1.000000e-07,
405810,4.979688e-06,1.000000e-05,1.772693e-06,1.000000e-07,1.000000e-07,
410820,5.172012e-06,1.000000e-05,1.756208e-06,1.000000e-07,1.000000e-07,
415830,5.062403e-06,1.000000e-05,1.742407e-06,1.000000e-07,1.000000e-07,
420840,4.878920e-06,1.000000e-05,1.731573e-06,1.000000e-07,1.000000e-07,
425850,4.771372e-06,1.000000e-05,1.721861e-06,1.000000e-07,1.000000e-07,
430860,4.704479e-06,1.000000e-05,1.712369e-06,1.000000e-07,1.000000e-07,
435870,4.648368e-06,1.000000e-05,1.702901e-06,1.000000e-07,1.000000e-07,
440880,4.596709e-06,1.000000e-05,1.693645e-06,1.000000e-07,1.000000e-07,
445890,4.552685e-06,1.000000e-05,1.684876e-06,1.000000e-07,1.000000e-07,
450900,4.845752e-06,1.000000e-05,1.680408e-06,1.000000e-07,1.000000e-07,
455910,5.181181e-06,1.000000e-05,1.679074e-06,1.000000e-07,1.000000e-07,
460920,5.122905e-06,1.000000e-05,1.673280e-06,1.000000e-07,1.000000e-07,
465930,4.968491e-06,1.000000e-05,1.665964e-06,1.000000e-07,1.000000e-07,
470940,4.846663e-06,1.000000e-05,1.658784e-06,1.000000e-07,1.000000e-07,
475950,4.783897e-06,1.000000e-05,1.653118e-06,1.000000e-07,1.000000e-07,
480960,4.734084e-06,1.000000e-05,1.648054e-06,1.000000e-07,1.000000e-07,
485970,4.691533e-06,1.000000e-05,1.641551e-06,1.000000e-07,1.000000e-07,
490980,4.649656e-06,1.000000e-05,1.635658e-06,1.000000e-07,1.000000e-07,
495990,4.612924e-06,1.000000e-05,1.629756e-06,1.000000e-07,1.000000e-07,
501000,4.580292e-06,1.000000e-05,1.624524e-06,1.000000e-07,1.000000e-07,
506010,4.550546e-06,1.000000e-05,1.621296e-06,1.000000e-07,1.000000e-07,
511020,4.857119e-06,1.000000e-05,1.627775e-06,1.000000e-07,1.000000e-07,
516030,5.212832e-06,1.000000e-05,1.643441e-06,1.000000e-07,1.000000e-07,
521040,5.193993e-06,1.000000e-05,1.655658e-06,1.000000e-07,1.000000e-07,
526050,5.103930e-06,1.000000e-05,1.666449e-06,1.000000e-07,1.000000e-07,
531060,5.007076e-06,1.000000e-05,1.676848e-06,1.000000e-07,1.000000e-07,
536070,4.945280e-06,1.000000e-05,1.686786e-06,1.000000e-07,1.000000e-07,
541080,4.915207e-06,1.000000e-05,1.697788e-06,1.000000e-07,1.000000e-07,
546090,4.898139e-06,1.000000e-05,1.708899e-06,1.000000e-07,1.000000e-07,
551100,4.886571e-06,1.000000e-05,1.720913e-06,1.000000e-07,1.000000e-07,
556110,4.875133e-06,1.000000e-05,1.733749e-06,1.000000e-07,1.000000e-07,
561120,4.864751e-06,1.000000e-05,1.747403e-06,1.000000e-07,1.000000e-07,
566130,4.854498e-06,1.000000e-05,1.761516e-06,1.000000e-07,1.000000e-07,
571140,4.848705e-06,1.000000e-05,1.776409e-06,1.000000e-07,1.000000e-07,
576150,4.844561e-06,1.000000e-05,1.792402e-06,1.000000e-07,1.000000e-07,
581160,4.838553e-06,1.000000e-05,1.808672e-06,1.000000e-07,1.000000e-07,
586170,4.833688e-06,1.000000e-05,1.824613e-06,1.000000e-07,1.000000e-07,
591180,4.826632e-06,1.000000e-05,1.838984e-06,1.000000e-07,1.000000e-07,
596190,4.819137e-06,1.000000e-05,1.852059e-06,1.000000e-07,1.000000e-07,
601200,4.813446e-06,1.000000e-05,1.862396e-06,1.000000e-07,1.000000e-07,
606210,4.812007e-06,1.000000e-05,1.870844e-06,1.000000e-07,1.000000e-07,
sub,o2,nh4,no2,no3,
5010,2.845918e-05,1.000000e-05,4.726232e-06,1.000000e-07,1.000000e-07,
10020,2.757063e-05,1.000000e-05,4.200412e-06,1.000000e-07,1.000000e-07,
15030,2.678525e-05,1.000000e-05,3.888707e-06,1.000000e-07,1.000000e-07,
20040,2.597926e-05,1.000000e-05,3.674415e-06,1.000000e-07,1.000000e-07,
25050,2.508059e-05,1.000000e-05,3.504469e-06,1.000000e-07,1.000000e-07,
30060,2.403966e-05,1.000000e-05,3.351722e-06,1.000000e-07,1.000000e-07,
35070,2.281799e-05,1.000000e-05,3.204242e-06,1.000000e-07,1.000000e-07,
40080,2.138920e-05,1.000000e-05,3.061772e-06,1.000000e-07,1.000000e-07,
