"nh3" "no2" "no3" "o2" "co2" "Biomass" "nparticle" "Height" "Roughness"
0.00165 0.001365 0.0008560001 0.0002989999 0.004112 2.1927251e-14 176.8 1.51270856826484e-06 4.62335524825303e-07
0.001291 0.001072 0.001481 0.0001689999 0.002635 2.02853624e-14 176 1.53122947868588e-06 4.26665648368712e-07
0.00295 0.00112 0.001191 0.0003849999 0.002858 2.2981616e-14 179.8 1.54960221499239e-06 4.39199537533862e-07
0.002715 0.002244 0.001217 0.0002309999 0.007042 2.2409789e-14 178 1.54432985722983e-06 4.59489164798799e-07
0.002899 0.000795 0.0006700001 0.0001519999 0.004632 2.09928946e-14 176.4 1.51629485749619e-06 4.59822116392168e-07
0.001142 0.002157 0.0006850001 0.0003269999 0.006304 2.1600603e-14 180.2 1.56147619166667e-06 4.4812994968344e-07
0.001021 0.001238 0.001371 0.0002659999 0.006726 2.072604e-14 176 1.51946192388519e-06 4.64574474214533e-07
0.002986 0.002047 0.001161 0.0001569999 0.003052 2.1561111e-14 176.6 1.52644871461187e-06 4.60862916856434e-07
0.001306 0.002009 0.0006470001 0.0001869999 0.003576 2.08311232e-14 176 1.52601940525053e-06 4.50502329998034e-07
0.002565 0.000967 0.0005050001 0.0003359999 0.002954 2.2522207e-14 179.4 1.53084878748097e-06 4.50984837326974e-07
0.00101 0.002169 0.001493 0.0001659999 0.002785 2.0086685e-14 176 1.51802542401065e-06 4.35877228891357e-07
0.00153 0.000913 0.001352 0.0003609999 0.002743 2.1793316e-14 177.4 1.52762913530071e-06 4.66895470541177e-07
0.002629 0.000979 0.001454 0.0002089999 0.005755 2.1730091e-14 177.2 1.52467850878173e-06 4.56573011242669e-07
0.0012 0.002225 0.001429 0.0001429999 0.007418 2.0088143e-14 176 1.53415319627093e-06 4.31779318912486e-07
0.001097 0.001218 0.0005580001 0.0004189999 0.007286 2.1491898e-14 176.2 1.52937062247251e-06 4.62199498297472e-07
0.002834 0.001472 0.0005320001 0.0002019999 0.007367 2.19691484e-14 177.2 1.52608161893743e-06 4.5546677482317e-07
0.001109 0.00084 0.000847 0.0001619999 0.004689 1.9767306e-14 176 1.53084204542042e-06 4.35181998537771e-07
0.002199 0.00213 0.001065 0.0003519999 0.004353 2.287482e-14 182.2 1.53988341151837e-06 4.32583045068513e-07
0.001257 0.001853 0.00147 0.0003379998 0.00305 2.8097054e-14 242.6 1.83513499585544e-06 5.42991822637694e-07
0.00165 0.001365 0.0008560001 0.0002989998 0.004112 2.8410403e-14 243.6 1.86559352848842e-06 5.29697236952116e-07
0.001291 0.001072 0.001481 0.0001689999 0.002635 2.57362134e-14 207.2 1.70349932867732e-06 5.03283441023599e-07
0.00295 0.00112 0.001191 0.0003849998 0.002858 3.0235049e-14 264.6 1.93251719763051e-06 5.57656018440098e-07
0.002715 0.002244 0.001217 0.0002309998 0.007042 2.9213762e-14 254.4 1.88791629839771e-06 5.5196273199916e-07
0.002899 0.000795 0.0006700001 0.0001519999 0.004632 2.69939714e-14 226.2 1.77491422173475e-06 5.46068005591645e-07
0.001142 0.002157 0.0006850001 0.0003269998 0.006304 2.7788647e-14 238.2 1.83900490214114e-06 4.87021813551637e-07
0.001021 0.001238 0.001371 0.0002659999 0.006726 2.6398955e-14 218.6 1.74623008498498e-06 5.46775527241823e-07
0.002986 0.002047 0.001161 0.0001569998 0.003052 2.7833556e-14 236.4 1.82220504425266e-06 5.37250203143533e-07
0.001306 0.002009 0.0006470001 0.0001869999 0.003576 2.6568046e-14 219.2 1.7432884513061e-06 5.23275617083694e-07
0.002565 0.000967 0.0005050001 0.0003359998 0.002954 2.94801654e-14 253.2 1.86989171164063e-06 5.69102446966824e-07
0.00101 0.002169 0.001493 0.0001659999 0.002785 2.53335694e-14 205.2 1.66140922096137e-06 4.72766155788083e-07
0.00153 0.000913 0.001352 0.0003609998 0.002743 2.8226952e-14 241 1.82717830443243e-06 5.54167955942889e-07
