"nh3" "no2" "no3" "o2" "co2" "Biomass" "nparticle" "Height" "Roughness"
0.002587 0.001369 0.000613 0.000288 0.006075 1.2621367e-14 112 1.05131436388889e-06 2.59989150117665e-07
0.002385 0.001248 0.001208 0.000321 0.006859 1.2624385e-14 112 1.05132558333333e-06 2.59985322610525e-07
0.001687 0.001628 0.00123 0.000229 0.004282 1.2435238e-14 112 1.061911825e-06 2.54419345846801e-07
0.002556 0.001134 0.001049 0.000365 0.004723 1.2665369e-14 112 1.05153216388889e-06 2.59959424412666e-07
0.001587 0.002063 0.001148 0.000211 0.003298 1.2409301e-14 112 1.07647889166667e-06 2.58548331133552e-07
0.002231 0.001487 0.001037 0.000172 0.003374 1.2362106e-14 112 1.06503038333333e-06 2.57767454286679e-07
0.001723 0.001301 0.000861 0.000214 0.005544 1.23770194e-14 112 1.06528167222222e-06 2.57819212406883e-07
0.001357 0.001531 0.001433 0.000373 0.005989 1.252642e-14 112 1.06274865e-06 2.56397788875977e-07
0.001382 0.001279 0.001008 0.00035 0.006845 1.2482344e-14 112 1.062331375e-06 2.56342130313335e-07
0.002912 0.001817 0.001178 0.000176 0.005619 1.2461661e-14 112 1.06641017222222e-06 2.58213381400253e-07
0.001768 0.001345 0.000609 0.000244 0.002905 1.2447838e-14 112 1.06198109444444e-06 2.54375572823817e-07
0.001919 0.001986 0.001267 0.00032 0.00626 1.2638167e-14 112 1.06367332777778e-06 2.5637609867249e-07
0.002789 0.001447 0.001389 0.000205 0.004419 1.25002e-14 112 1.06670117777778e-06 2.58179382063578e-07
0.002097 0.001586 0.000916 0.000409 0.004321 1.2708678e-14 112 1.05211100555556e-06 2.60105354411232e-07
0.002172 0.000945 0.000941 0.000275 0.00593 1.2491218e-14 112 1.06607030833333e-06 2.5768592616696e-07
0.001552 0.000996 0.001249 0.00026 0.003878 1.2375892e-14 112 1.06515895e-06 2.57766330223066e-07
0.002423 0.001919 0.000739 0.000264 0.005315 1.2623091e-14 112 1.05150168611111e-06 2.60075003402315e-07
0.00128 0.000899 0.000938 0.000311 0.002806 1.234466e-14 112 1.07335465833333e-06 2.55622760260243e-07
0.001424 0.001597 0.00068 0.000358 0.005801 1.2539841e-14 112 1.06285918333333e-06 2.56393597529448e-07
0.001829 0.000817 0.001115 0.000189 0.005171 1.2256135e-14 112 1.07156983888889e-06 2.54766334254931e-07
0.001416 0.001767 0.001293 0.000223 0.006001 1.2373945e-14 112 1.07609690555556e-06 2.58557492582864e-07
0.002778 0.001946 0.000632 0.000293 0.007336 1.2698947e-14 112 1.05198768333333e-06 2.60077358776411e-07
0.001223 0.001398 0.000723 0.000417 0.003659 1.2498759e-14 112 1.06252201111111e-06 2.56408165248565e-07
0.002514 0.00173 0.000894 0.000258 0.003209 1.2607686e-14 112 1.05133459166667e-06 2.60041327934175e-07
0.0022 0.001506 0.001254 0.000241 0.006171 1.2524171e-14 112 1.06262178333333e-06 2.54366985195624e-07
0.002246 0.000941 0.001101 0.00028 0.003332 1.2506012e-14 112 1.05364039166667e-06 2.60058701520508e-07
0.001042 0.001421 0.001124 0.000205 0.003811 1.2177052e-14 112 1.07150334722222e-06 2.55858157510418e-07
0.001569 0.001178 0.001443 0.000158 0.00487 1.2179625e-14 112 1.07080756944444e-06 2.54937853339711e-07
0.002692 0.001865 0.001331 0.000404 0.002687 1.2796035e-14 112 1.05367534166667e-06 2.61768491432013e-07
0.002343 0.001885 0.000812 0.000177 0.007197 1.2421218e-14 112 1.06612330277778e-06 2.58257857053333e-07
0.001818 0.0021 0.001025 0.000246 0.005268 1.252538e-14 112 1.062714975e-06 2.56365235492365e-07
0.002134 0.001043 0.000746 0.000411 0.005366 1.2635864e-14 112 1.05136263888889e-06 2.59967588574576e-07
0.002662 0.001146 0.001401 0.000344 0.005445 1.2658251e-14 112 1.05147043611111e-06 2.5995114004569e-07
0.00202 0.001552 0.000692 0.000165 0.004754 1.2319285e-14 112 1.07303743055556e-06 2.5562090340389e-07
0.002322 0.000872 0.000569 0.000302 0.006393 1.2526141e-14 112 1.05368039444444e-06 2.60030319022617e-07
0.002934 0.002014 0.000719 0.000346 0.003757 1.2776616e-14 112 1.05352715833333e-06 2.61756779373934e-07
0.001963 0.001519 0.00133 0.000316 0.0039 1.2599464e-14 112 1.06329668888889e-06 2.56312745238194e-07
0.001505 0.002208 0.001469 0.000272 0.00481 1.2510101e-14 112 1.06262810555556e-06 2.56421157365572e-07
0.001174 0.002184 0.000984 0.000297 0.003632 1.2443038e-14 112 1.07670506944444e-06 2.58655539428039e-07
0.00185 0.001562 0.000795 0.000269 0.006924 1.2525771e-14 112 1.06267496666667e-06 2.56312478113702e-07
0.002803 0.001189 0.000901 0.000285 0.004902 1.2610727e-14 112 1.05113455277778e-06 2.59933991048782e-07
0.002456 0.001468 0.001301 0.000227 0.002531 1.2521528e-14 112 1.06257590555556e-06 2.54341829058886e-07
0.001327 0.001774 0.001099 0.000398 0.005499 1.2560713e-14 112 1.06406744444444e-06 2.58026630963519e-07
0.002755 0.000799 0.000952 0.000194 0.006754 1.2368717e-14 112 1.06405246944444e-06 2.56852116025118e-07
0.001068 0.000779 0.000543 0.000363 0.003445 1.2279593e-14 112 1.07256742777778e-06 2.55642276282006e-07
0.002974 0.001807 0.001282 0.000314 0.005207 1.2729105e-14 112 1.05214426944444e-06 2.60061921666457e-07
0.002287 0.001084 0.000785 0.000182 0.002573 1.2349107e-14 112 1.06419900555556e-06 2.56997314279889e-07
0.001123 0.001957 0.000624 0.00015 0.006459 1.2093943e-14 112 1.07047569444444e-06 2.55880461297377e-07
0.001209 0.000862 0.000579 0.00025 0.006971 1.2236046e-14 112 1.07198628611111e-06 2.55604629094443e-07
0.002042 0.001837 0.001363 0.000148 0.004988 1.2280919e-14 112 1.07259556388889e-06 2.55655640373568e-07
0.001874 0.001391 0.001089 0.000146 0.007475 1.2213666e-14 112 1.071230675e-06 2.5493438165338e-07
0.002867 0.002203 0.000584 0.000185 0.004066 1.2508875e-14 112 1.06250276111111e-06 2.54378832897424e-07
0.00194 0.001665 0.00096 0.000253 0.004151 1.4612995e-14 114.4 1.08263151666667e-06 2.89633771362895e-07
0.001755 0.001605 0.000994 0.000304 0.005661 1.4669388e-14 114.6 1.08478881666667e-06 2.90075068130261e-07
0.002031 0.001333 0.000824 0.000236 0.004044 1.4532442e-14 114.4 1.08663104444444e-06 2.92265366836485e-07
0.002063 0.001715 0.00106 0.000292 0.0064 1.4745858e-14 116.4 1.10187138611111e-06 3.03986957002778e-07
0.001462 0.001785 0.000874 0.000253 0.005124 1.4467583e-14 113 1.08589880555556e-06 2.8031264139926e-07
