"Biomass" "nparticle" "Height" "Roughness"
5.998674e-18 0.0328 2.14132746546547e-10 -1.50169822318243e-11
6.776442e-18 0.0208 1.55654945738204e-10 8.3825176776704e-12
1.307598e-17 0.1388 6.5080426631947e-10 1.87340873323524e-10
1.3238122e-17 0.1428 6.6970533998659e-10 1.93942501744583e-10
1.28895288e-17 0.128 5.92389157415608e-10 1.7316278687871e-10
1.354551e-17 0.1516 6.96466990706241e-10 1.69622069425542e-10
1.2451912e-17 0.1224 5.97862076233082e-10 1.50501451196966e-10
1.4061644e-17 0.1576 7.59101599323378e-10 2.13694138019607e-10
1.2993816e-17 0.1352 6.56300119322062e-10 1.19816737526839e-10
1.338454e-17 0.14 6.71023170749846e-10 1.94770888103658e-10
1.32068844e-17 0.138 6.37830383362047e-10 1.81837149873765e-10
1.34673752e-17 0.1484 7.08954063797359e-10 1.70216521063422e-10
1.284078e-17 0.13 6.32221702739726e-10 1.13783490094863e-10
1.2949178e-17 0.1292 6.34400628544983e-10 1.76707397913553e-10
1.38481136e-17 0.1576 7.02949758825949e-10 2.24056188446275e-10
1.275597e-17 0.1196 5.69393066158624e-10 1.95855905507373e-10
1.466543e-17 0.1728 7.58978053763544e-10 1.9702280692778e-10
1.1894896e-17 0.0944 4.45150213455922e-10 2.11076093124125e-10
1.30553028e-17 0.1412 6.91783009539676e-10 1.65874764004265e-10
1.3325458e-17 0.142 7.17270816535028e-10 1.52074371470833e-10
1.382497e-17 0.1524 6.85348373439879e-10 1.96710861228839e-10
1.3851922e-17 0.1532 6.74690692103337e-10 2.1096733507801e-10
1.2518116e-17 0.118 5.90378289435581e-10 1.03567198389649e-10
1.4168168e-17 0.1604 7.39154782599038e-10 2.11188666093106e-10
1.2277238e-17 0.1144 5.58333623361718e-10 1.63870988609562e-10
1.22580008e-17 0.1072 5.1329676700399e-10 1.62924539934742e-10
1.22868048e-17 0.1124 5.67387850464848e-10 1.71353734201943e-10
1.29261432e-17 0.1312 6.25769497077379e-10 9.9705681842171e-11
1.2759438e-17 0.1268 6.26239160611873e-10 1.34140938120172e-10
1.28359028e-17 0.1264 5.68171684666173e-10 1.85286740029244e-10
1.26786828e-17 0.1188 6.23534589699288e-10 1.3457113172347e-10
1.3659556e-17 0.1528 6.79070797636431e-10 1.21452655280494e-10
1.312464e-17 0.1328 6.21168366368423e-10 2.08805242330729e-10
1.41867972e-17 0.1636 7.35053891797281e-10 1.57082994447851e-10
1.31792768e-17 0.1284 6.57450688623226e-10 1.54761663779615e-10
1.23448608e-17 0.112 5.70113989503888e-10 1.98613037341301e-10
1.3683562e-17 0.154 7.42184227578263e-10 1.7160107237632e-10
1.2115516e-17 0.1028 5.18519373318113e-10 1.76218015204944e-10
1.30151348e-17 0.1352 6.3702834869752e-10 1.11151973029924e-10
1.1856906e-17 0.0896 4.30877133570776e-10 2.19479112383072e-10
1.20712276e-17 0.108 5.22954032241145e-10 1.27741900942054e-10
1.41734168e-17 0.1636 7.50135234739973e-10 1.66151364837387e-10
1.2739966e-17 0.1272 5.71874491174822e-10 1.39827100541688e-10
1.3643092e-17 0.1536 7.40263442716689e-10 1.82284534974977e-10
1.3161268e-17 0.134 6.05323488629942e-10 2.16720385504749e-10
1.3280946e-17 0.1352 6.88884096133120e-10 2.04818411708582e-10
1.09309612e-17 0.07 3.73253030136986e-10 1.55595179222595e-10
1.1214344e-17 0.0736 3.6953260263277e-10 1.9972776474548e-10
1.4752912e-17 0.176 7.69607829314111e-10 1.48503255852961e-10
1.2527254e-17 0.12 5.76479632129335e-10 1.31257875073484e-10
1.29783068e-17 0.1352 6.55227909708339e-10 1.53709580013832e-10
1.3959122e-17 0.1548 7.39633272023898e-10 2.17734645981424e-10
